Transaction_Text,Label
PHONEPE UPI payment to Ravi UPI,Personal Transfer
UPI Hospital bill payment PAYMENT,Medical
GPAY Disney Hotstar subscription TRANSACTION,Entertainment
MakeMyTrip hotel booking | Ref:23d6153f | Amount: INR 5610.64,Transport
Petrol pump fuel payment | Ref:d1d2e4de | Amount: INR 13651.35,Petrol
BANK Jio mobile recharge TRANSACTION,Bills
PHONEPE Bank credit received,Income
GPAY Money received PAYMENT,Income
PAYTM Monthly salary credit PAYMENT,Salary
POS Other transaction,Other
ONLINE Office salary received,Salary
PHONEPE Company salary deposit TRANSACTION,Salary
UPI Company salary deposit ONLINE,Salary
PHONEPE UPI transfer to friend PAYMENT,Personal Transfer
UPI payment to Ravi,Personal Transfer
Petrol pump fuel payment | Ref:e0df3360 | Amount: INR 37097.76,Petrol
Groww ETF investment | Ref:782ea9dc | Amount: INR 3847.64,Investment
PHONEPE Money received,Income
Groww ETF investment | Ref:9a31bd03 | Amount: INR 49476.69,Investment
GPAY Bank credit received UPI,Income
UPI Employer salary payment UPI,Salary
Reliance Digital purchase | Ref:23e17af9 | Amount: INR 47604.67,Shopping
PHONEPE General income credit,Income
GPAY Zerodha investment payment ONLINE,Investment
UPI Personal bank transfer ONLINE,Personal Transfer
POS Disney Hotstar subscription PURCHASE,Entertainment
PHONEPE UPI transfer to friend UPI,Personal Transfer
Bajaj Finserv EMI payment | Ref:35dba707 | Amount: INR 12367.7,EMI
PHONEPE Money sent to Deepak,Personal Transfer
PHONEPE UPI transfer to friend UPI,Personal Transfer
PHONEPE Retail clothing purchase PURCHASE,Shopping
PAYTM Salary August credit ONLINE,Salary
PAYTM Hospital bill payment,Medical
Utility bill payment,Bills
PHONEPE Money sent to Deepak ONLINE,Personal Transfer
Dominos pizza order | Ref:2e8d7704 | Amount: INR 46812.28,Food
Petrol pump fuel payment | Ref:8787ecfe | Amount: INR 17115.41,Petrol
UPI Employer salary payment TRANSACTION,Salary
Petrol pump fuel payment | Ref:c5817e9b | Amount: INR 31408.09,Petrol
Water bill payment PAYMENT,Bills
ONLINE Commission received PAYMENT,Income
IKEA furniture shopping | Ref:0f2c5058 | Amount: INR 20193.92,Shopping
UPI Mobile bill payment PURCHASE,Bills
Uber ride payment | Ref:b39ef39c | Amount: INR 35816.45,Transport
Personal loan EMI deduction | Ref:ee119e7f | Amount: INR 20985.38,EMI
BANK Other transaction,Other
ONLINE Bank credit received ONLINE,Income
GPAY Payroll credit UPI,Salary
UPI Misc expense payment ONLINE,Other
Ola cab fare | Ref:20dd12ad | Amount: INR 18059.27,Transport
Fixed deposit investment | Ref:03588750 | Amount: INR 1160.71,Investment
Grocery purchase at Big Bazaar | Ref:a903f5c9 | Amount: INR 5132.51,Food
SIP investment in mutual fund | Ref:c4bdbff0 | Amount: INR 48767.21,Investment
UPI Loan finance installment TRANSACTION,EMI
Petrol pump fuel payment | Ref:b627a2d1 | Amount: INR 42042.18,Petrol
PHONEPE Hostel rent payment PAYMENT,Rent
Bajaj Finserv EMI payment | Ref:829b026b | Amount: INR 45162.7,EMI
POS Payroll credit PAYMENT,Salary
ONLINE Gas bill payment PURCHASE,Bills
UPI Disney Hotstar subscription TRANSACTION,Entertainment
Flipkart electronics purchase | Ref:23b10ba8 | Amount: INR 4333.41,Shopping
PHONEPE Bonus credited,Income
POS Commission received UPI,Income
Payroll credit PAYMENT,Salary
ONLINE Hostel rent payment UPI,Rent
Jio mobile recharge TRANSACTION,Bills
Petrol pump fuel payment | Ref:96285af9 | Amount: INR 10227.96,Petrol
POS Commission received PAYMENT,Income
BANK Payment received,Income
Groww ETF investment | Ref:6e95011d | Amount: INR 1130.86,Investment
PAYTM Landlord rent payment TRANSACTION,Rent
Cafe coffee purchase at | Ref:d39ec713 | Amount: INR 12366.95,Food
PAYTM General payment UPI,Other
GPAY BookMyShow movie ticket ONLINE,Entertainment
McDonald's meal payment | Ref:f2b0a244 | Amount: INR 8508.33,Food
POS Water bill payment PURCHASE,Bills
UPI Payroll credit ONLINE,Salary
Miscellaneous expense,Other
UPI PG rent payment UPI,Rent
UPI UPI transfer to friend UPI,Personal Transfer
POS Mithran Super Stores purchase ONLINE,Groceries
POS Employer salary payment UPI,Salary
UPI Personal UPI transfer ONLINE,Personal Transfer
GPAY Bookstore study material,Studies
GPAY MedPlus pharmacy purchase ONLINE,Medical
Flat rent transfer ONLINE,Rent
POS Utility bill payment PURCHASE,Bills
Coaching institute UPI UPI,Studies
UPI Company salary deposit UPI,Salary
BANK Room rent August,Rent
IKEA furniture shopping | Ref:b0f9aa27 | Amount: INR 13684.99,Shopping
BANK Netflix monthly payment TRANSACTION,Entertainment
PAYTM Landlord rent payment TRANSACTION,Rent
Udemy course purchase ONLINE,Studies
Dominos pizza order | Ref:0cfdc08a | Amount: INR 37250.5,Food
Amazon online shopping | Ref:09f374db | Amount: INR 36313.03,Shopping
PAYTM Water bill payment TRANSACTION,Bills
Zomato dinner bill | Ref:82045893 | Amount: INR 30443.73,Food
PHONEPE General purchase PURCHASE,Other
PAYTM Medicine purchase PAYMENT,Medical
PHONEPE Monthly salary credit UPI,Salary
Amazon online shopping | Ref:06231e9f | Amount: INR 45426.93,Shopping
POS Commission received PAYMENT,Income
Reliance Digital purchase | Ref:2290c7f4 | Amount: INR 11667.94,Shopping
PAYTM Loan finance installment PAYMENT,EMI
HDFC home loan EMI | Ref:30aea3e5 | Amount: INR 17272.88,EMI
UPI BookMyShow movie ticket ONLINE,Entertainment
MakeMyTrip hotel booking | Ref:e2522bb7 | Amount: INR 794.7,Transport
UPI Cinema ticket payment PURCHASE,Entertainment
GPAY General payment UPI,Other
Money transfer to person TRANSACTION,Personal Transfer
GPAY Personal bank transfer TRANSACTION,Personal Transfer
POS Reliance Fresh supermarket payment PAYMENT,Groceries
BANK Medical shop purchase UPI,Medical
GPAY University tuition fee PAYMENT,Studies
Groww ETF investment | Ref:105575b0 | Amount: INR 23312.47,Investment
Cafe coffee purchase at | Ref:256ffe6c | Amount: INR 33111.18,Food
GPAY House rent payment,Rent
SIP investment in mutual fund | Ref:fc4bd765 | Amount: INR 1900.28,Investment
Prime Video subscription PURCHASE,Entertainment
PHONEPE UPI payment to Ravi UPI,Personal Transfer
ONLINE Cash deposit credit TRANSACTION,Income
Petrol pump fuel payment | Ref:9e35c4d9 | Amount: INR 25524.59,Petrol
UPI Education institute UPI payment ONLINE,Studies
POS Apollo Pharmacy payment,Medical
BANK Unknown bank transaction PAYMENT,Other
POS Monthly wages credited PURCHASE,Salary
PHONEPE Transfer to family member ONLINE,Personal Transfer
UPI Personal UPI transfer UPI,Personal Transfer
GPAY Airtel recharge PAYMENT,Bills
PHONEPE Airtel recharge ONLINE,Bills
PAYTM Payroll credit PAYMENT,Salary
RedBus bus ticket | Ref:6c695d08 | Amount: INR 30400.54,Transport
ONLINE MedPlus pharmacy purchase ONLINE,Medical
Gaming purchase,Entertainment
Zerodha stock purchase | Ref:95ec9634 | Amount: INR 37896.9,Investment
ONLINE Personal UPI transfer,Personal Transfer
BANK Unknown bank transaction UPI,Other
Grocery purchase at Big Bazaar | Ref:3f6ce157 | Amount: INR 13089.91,Food
PAYTM Personal UPI transfer ONLINE,Personal Transfer
Petrol pump fuel payment | Ref:2a0c1917 | Amount: INR 17357.93,Petrol
RedBus bus ticket | Ref:4ad4031a | Amount: INR 6786.79,Transport
UPI Misc expense payment PURCHASE,Other
Zerodha stock purchase | Ref:f4b7367a | Amount: INR 28405.94,Investment
McDonald's meal payment | Ref:f04794e5 | Amount: INR 46477.57,Food
GPAY Diagnostic lab payment UPI,Medical
BANK MedPlus pharmacy purchase UPI,Medical
BANK Stock market investment ONLINE,Investment
PHONEPE Education institute UPI payment ONLINE,Studies
Monthly salary credit TRANSACTION,Salary
PAYTM Medical shop purchase UPI,Medical
PHONEPE Flat rent transfer TRANSACTION,Rent
Zerodha stock purchase | Ref:706f2310 | Amount: INR 38460.15,Investment
SIP investment in mutual fund | Ref:cda6b572 | Amount: INR 10963.27,Investment
UPI Misc expense payment ONLINE,Other
BANK BookMyShow movie ticket TRANSACTION,Entertainment
Mithran Super Stores purchase ONLINE,Groceries
POS Hostel rent payment UPI,Rent
ONLINE Bonus credited,Income
Bajaj Finserv EMI payment | Ref:2e6f4056 | Amount: INR 4568.77,EMI
UPI Bookstore study material PAYMENT,Studies
PAYTM Landlord rent payment ONLINE,Rent
ONLINE Room rent August ONLINE,Rent
POS Payment received PURCHASE,Income
ONLINE College fee payment PAYMENT,Studies
SBI car loan EMI | Ref:a5e69753 | Amount: INR 47148.17,EMI
UPI Company salary deposit TRANSACTION,Salary
POS Medical shop purchase UPI,Medical
GPAY Udemy course purchase PAYMENT,Studies
PHONEPE Bookstore study material ONLINE,Studies
Bajaj Finserv EMI payment | Ref:1cebaead | Amount: INR 9603.9,EMI
Restaurant dining at | Ref:b45e9dad | Amount: INR 22716.46,Food
BANK Flat rent transfer TRANSACTION,Rent
ONLINE Flat rent transfer PURCHASE,Rent
Flipkart electronics purchase | Ref:3b422505 | Amount: INR 28356.46,Shopping
PAYTM IOCL fuel station UPI PURCHASE,Petrol
Grocery purchase at Big Bazaar | Ref:2e493ca4 | Amount: INR 44441.79,Food
UPI Coursera course payment PURCHASE,Studies
GPAY Transfer to family member TRANSACTION,Personal Transfer
Zerodha stock purchase | Ref:79e13744 | Amount: INR 41447.34,Investment
GPAY UPI payment to Ravi PURCHASE,Personal Transfer
Cinema ticket payment,Entertainment
ONLINE Udemy course purchase TRANSACTION,Studies
Electricity bill payment TRANSACTION,Bills
Petrol pump fuel payment | Ref:bf909129 | Amount: INR 46407.03,Petrol
PAYTM Medicine purchase PAYMENT,Medical
HDFC home loan EMI | Ref:88922ebf | Amount: INR 46115.19,EMI
ONLINE Jio mobile recharge TRANSACTION,Bills
Ola cab fare | Ref:06fdd7cf | Amount: INR 33218.62,Transport
GPAY Landlord rent payment PAYMENT,Rent
HDFC home loan EMI | Ref:cd38efe0 | Amount: INR 23566.49,EMI
Petrol pump fuel payment | Ref:bf909129 | Amount: INR 46407.03,Petrol
Bajaj Finserv EMI payment | Ref:ba0df5ac | Amount: INR 35164.23,EMI
PHONEPE Electronics store purchase PAYMENT,Shopping
ONLINE Medicine purchase ONLINE,Medical
ONLINE Supermarket grocery purchase,Groceries
PHONEPE Money sent to Deepak UPI,Personal Transfer
Payment to friend,Personal Transfer
Dominos pizza order | Ref:2d42c7f2 | Amount: INR 40712.63,Food
POS Employer salary payment TRANSACTION,Salary
Zomato dinner bill | Ref:76bc4c2c | Amount: INR 41748.93,Food
ONLINE Salary credited,Salary
SIP investment in mutual fund | Ref:d9309a46 | Amount: INR 12022.78,Investment
Myntra clothing order | Ref:fbde2f6e | Amount: INR 40259.65,Shopping
PAYTM Monthly salary credit ONLINE,Salary
Petrol pump fuel payment | Ref:d01dfd79 | Amount: INR 4754.68,Petrol
BANK Money transfer to person UPI,Personal Transfer
ONLINE Payment to friend TRANSACTION,Personal Transfer
College fee payment,Studies
POS Company salary deposit,Salary
PAYTM Money sent to Deepak PAYMENT,Personal Transfer
GPAY Reliance Fresh supermarket payment UPI,Groceries
PPF contribution | Ref:0d1f70f8 | Amount: INR 16666.1,Investment
POS Water bill payment PURCHASE,Bills
POS Mobile bill payment,Bills
Groww ETF investment | Ref:9afeeb41 | Amount: INR 12082.55,Investment
IRCTC train ticket booking | Ref:65cac79b | Amount: INR 32674.11,Transport
POS BookMyShow movie ticket PAYMENT,Entertainment
Doctor consultation fee TRANSACTION,Medical
PHONEPE Cafe payment,Food
Petrol pump fuel payment | Ref:bd73cf42 | Amount: INR 10400.07,Petrol
POS Commission received,Income
POS Hostel rent payment UPI,Rent
GPAY MedPlus pharmacy purchase,Medical
IndiGo flight ticket | Ref:bb97de30 | Amount: INR 32826.27,Transport
PAYTM Airtel recharge TRANSACTION,Bills
GPAY Jio mobile recharge PAYMENT,Bills
GPAY Gas bill payment,Bills
POS Unclassified transaction PAYMENT,Other
Restaurant dining at | Ref:df9ae3db | Amount: INR 48382.42,Food
Uber ride payment | Ref:630da6d3 | Amount: INR 46480.88,Transport
PAYTM IOCL fuel station UPI UPI,Petrol
PHONEPE Monthly rent transfer ONLINE,Rent
PAYTM Employer salary payment PURCHASE,Salary
Myntra clothing order | Ref:fcc73279 | Amount: INR 9218.1,Shopping
UPI School fee payment,Studies
POS UPI payment to Ravi,Personal Transfer
PAYTM Monthly salary credit UPI,Salary
PHONEPE Unknown bank transaction ONLINE,Other
Groww ETF investment | Ref:ff1b89f5 | Amount: INR 15309.88,Investment
UPI Loan finance installment UPI,EMI
IRCTC train ticket booking | Ref:4c44f5aa | Amount: INR 36460.48,Transport
GPAY Internet broadband bill UPI,Bills
HDFC home loan EMI | Ref:4e3a26a7 | Amount: INR 22684.19,EMI
Swiggy order payment | Ref:436214db | Amount: INR 45910.61,Food
PAYTM Room rent August PAYMENT,Rent
PHONEPE Railway ticket booking ONLINE,Transport
Flipkart electronics purchase | Ref:43921cc0 | Amount: INR 1651.35,Shopping
ONLINE Other transaction PURCHASE,Other
Uber ride payment | Ref:33834a62 | Amount: INR 28120.97,Transport
Swiggy order payment | Ref:6f13f4f2 | Amount: INR 47269.91,Food
GPAY Utility bill payment PAYMENT,Bills
Personal loan EMI deduction | Ref:2caf8022 | Amount: INR 33285.79,EMI
BANK Exam fee payment UPI,Studies
UPI Misc expense payment TRANSACTION,Other
PPF contribution | Ref:c787147d | Amount: INR 47726.51,Investment
Bajaj Finserv EMI payment | Ref:d16f331a | Amount: INR 25087.36,EMI
Zomato dinner bill | Ref:703d3814 | Amount: INR 9802.12,Food
PAYTM Coursera course payment TRANSACTION,Studies
HDFC home loan EMI | Ref:c68f728a | Amount: INR 32677.4,EMI
Netflix monthly payment TRANSACTION,Entertainment
ONLINE Gaming purchase TRANSACTION,Entertainment
ONLINE Personal bank transfer PURCHASE,Personal Transfer
Amazon online shopping | Ref:68e9a9f2 | Amount: INR 29545.1,Shopping
Myntra clothing order | Ref:5fd97544 | Amount: INR 27685.12,Shopping
Water bill payment PURCHASE,Bills
Petrol pump fuel payment | Ref:675bc419 | Amount: INR 32239.5,Petrol
McDonald's meal payment | Ref:65133763 | Amount: INR 5419.48,Food
Groww ETF investment | Ref:e5f6e739 | Amount: INR 13507.53,Investment
PHONEPE Shell fuel payment PAYMENT,Petrol
GPAY Zepto grocery delivery PURCHASE,Groceries
MakeMyTrip hotel booking | Ref:932d3b38 | Amount: INR 30351.05,Transport
Fixed deposit investment | Ref:cf7f9ce8 | Amount: INR 40382.36,Investment
UPI Monthly rent transfer UPI,Rent
Petrol pump fuel payment | Ref:c5acbf17 | Amount: INR 18499.41,Petrol
GPAY BookMyShow movie ticket ONLINE,Entertainment
UPI Prime Video subscription TRANSACTION,Entertainment
UPI IOCL fuel station UPI TRANSACTION,Petrol
ONLINE Zepto grocery delivery TRANSACTION,Groceries
PAYTM BigBasket grocery order ONLINE,Groceries
POS BigBasket grocery order TRANSACTION,Groceries
Electricity bill payment,Bills
PAYTM HPCL petrol payment,Petrol
POS Payroll credit,Salary
Disney Hotstar subscription UPI,Entertainment
Ola cab fare | Ref:4e28b90f | Amount: INR 32441.86,Transport
PHONEPE Cash deposit credit ONLINE,Income
BANK Personal bank transfer PURCHASE,Personal Transfer
GPAY Unknown bank transaction PAYMENT,Other
PHONEPE Exam fee payment UPI,Studies
BANK Zepto grocery delivery PAYMENT,Groceries
UPI Employer salary payment TRANSACTION,Salary
BANK Salary credited PURCHASE,Salary
